Hour,PV,Base_Load,Feed_Price,Load_Price
1,0,4.481,0.21644,0.21644
2,0,4.113,0.21009,0.21009
3,0,3.92,0.2012,0.2012
4,0,4.012,0.20097,0.20097
5,0.067,3.897,0.20813,0.20813
6,0.381,3.665,0.21263,0.21263
7,1.278,4.049,0.22556,0.22556
8,1.893,4.305,0.23167,0.23167
9,2.641,4.847,0.24045,0.24045
10,3.444,5.78,0.23975,0.23975
11,3.566,5.708,0.24783,0.24783
12,3.189,5.665,0.24079,0.24079
13,2.499,5.739,0.24022,0.24022
14,2.08,5.386,0.24056,0.24056
15,1.36,5.461,0.23952,0.23952
16,0.44,5.476,0.23721,0.23721
17,0.329,5.613,0.23918,0.23918
18,0.146,6.043,0.23745,0.23745
19,0.007,6.436,0.2334,0.2334
20,0,6.234,0.23306,0.23306
21,0,6.287,0.23294,0.23294
22,0,6.31,0.23329,0.23329
23,0,6.089,0.23456,0.23456
24,0,6.018,0.22879,0.22879
